,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
2703,3472641,13565,RAMANEWS,SHREE RAMA NEWSPRINT,0.0,,0.0,0.05,1,EQ,NSE,NSE
2704,2636801,10300,RAMASTEEL,RAMA STEEL TUBES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2705,523009,2043,RAMCOCEM,THE RAMCO CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2706,1174273,4587,RAMCOIND,RAMCO INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2707,2009857,7851,RAMCOSYS,RAMCO SYSTEMS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2708,5154305,20134,RAMKY,RAMKY INFRA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2709,1010689,3948,RAMSARUP-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
2710,726273,2837,RANASUG,RANA SUGARS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2711,4288257,16751,RANEENGINE,RANE ENG VALVE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2712,728065,2844,RANEHOLDIN,RANE HOLDINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2713,3443457,13451,RATNAMANI,RATNAMANI MET & TUB.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2714,731905,2859,RAYMOND,RAYMOND,0.0,,0.0,0.05,1,EQ,NSE,NSE
2715,4286721,16745,RBL,RANE BRAKE LINING,0.0,,0.0,0.05,1,EQ,NSE,NSE
2716,4708097,18391,RBLBANK,RBL BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE
2717,733697,2866,RCF,RASHTRIYA CHEMICALS & FER,0.0,,0.0,0.05,1,EQ,NSE,NSE
2718,3375873,13187,RCOM,RELIANCE COMMUNICATIONS L,0.0,,0.0,0.05,1,EQ,NSE,NSE
2719,3930881,15355,RECLTD,REC,0.0,,0.0,0.05,1,EQ,NSE,NSE
2720,7451905,29109,RECLTD-N1,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2721,7452417,29111,RECLTD-N2,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2722,7580673,29612,RECLTD-N3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2723,7581185,29614,RECLTD-N4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2724,7931393,30982,RECLTD-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2725,7931905,30984,RECLTD-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2726,7932417,30986,RECLTD-N7,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2727,7932929,30988,RECLTD-N8,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2728,7933441,30990,RECLTD-N9,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2729,7933953,30992,RECLTD-NA,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2730,750337,2931,RECLTD-NB,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2731,750849,2933,RECLTD-NC,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2732,751361,2935,RECLTD-ND,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2733,752897,2941,RECLTD-NE,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2734,754433,2947,RECLTD-NF,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2735,755969,2953,RECLTD-NG,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2736,5101057,19926,RECLTD-NH,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2737,5100545,19924,RECLTD-NI,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2738,3649281,14255,REDINGTON,REDINGTON (INDIA).,0.0,,0.0,0.05,1,EQ,NSE,NSE
2739,428545,1674,REFEX-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
2740,6201601,24225,RELAXO,RELAXO FOOT.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2741,1201153,4692,RELCAPITAL-BE,REL CAPITAL - DEPO. SETT.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2742,13057,51,RELIABLE-SM,,0.0,,0.0,0.05,2400,EQ,NSE,NSE
2743,738561,2885,RELIANCE,RELIANCE INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2744,4857345,18974,RELIANCEPP-E1,,0.0,,0.0,0.05,1,EQ,NSE,NSE
2745,3857409,15068,RELIGARE,RELIGARE ENTER..,0.0,,0.0,0.05,1,EQ,NSE,NSE
2746,141569,553,RELINFRA,RELIANCE INFRASTRUCTU,0.0,,0.0,0.05,1,EQ,NSE,NSE
2747,1015041,3965,REMSONSIND,REMSONS INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2748,3078657,12026,RENUKA,SHREE RENUKA SUGARS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2749,7577089,29598,REPCOHOME,REPCO HOME FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2750,378881,1480,REPL,RUDRABHISHEK ENTERP,0.0,,0.0,0.05,1,EQ,NSE,NSE
2751,3360257,13126,REPRO,REPRO INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2752,5202689,20323,RESPONIND,RESPONSIVE INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2753,3062017,11961,REVATHI,REVATHI EQUIPMENT,0.0,,0.0,0.05,1,EQ,NSE,NSE
2754,3873025,15129,RGL,RENAISSANCE GLOBAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
2755,5564673,21737,RHFL-BE,RELIANCE HOME FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2756,4950273,19337,RHFL-N3,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2757,4950785,19339,RHFL-N4,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2758,4951297,19341,RHFL-N5,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2759,4951809,19343,RHFL-N6,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2760,4952321,19345,RHFL-N7,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2761,4952833,19347,RHFL-N8,,0.0,,0.0,0.01,1,EQ,NSE,NSE
2762,744705,2909,RICOAUTO,RICO AUTO INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2763,745473,2912,RIIL,RELIANCE INDUSTRIAL INFRA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2764,962817,3761,RITES,RITES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2765,5363201,20950,RKDL,RAVI KUMAR DIST..,0.0,,0.0,0.05,1,EQ,NSE,NSE
2766,396033,1547,RKEC,RKEC PROJECTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2767,2921217,11411,RKFORGE,RAMKRISHNA FORGINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2768,3864833,15097,RMCL-BE,RADHA MADHAV CO..,0.0,,0.0,0.05,1,EQ,NSE,NSE
2769,5584897,21816,RMDRIP-SM,,0.0,,0.0,0.05,2000,EQ,NSE,NSE
2770,3065601,11975,RML,RANE (MADRAS),0.0,,0.0,0.05,1,EQ,NSE,NSE
2771,4465665,17444,RNAVAL,RELIANCE NAVAL & ENGG,0.0,,0.0,0.05,1,EQ,NSE,NSE
2772,3427841,13390,ROHITFERRO-BE,ROHIT FERRO-TECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
2773,3374593,13182,ROHLTD,ROYAL ORCHID HOTELS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2774,4891649,19108,ROLLT-BE,ROLLATAINERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2775,747009,2918,ROLTA,ROLTA INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2776,91905,359,ROML,RAJ OIL MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2777,4968961,19410,ROSSARI,ROSSARI BIOTECH,0.0,,0.0,0.05,1,EQ,NSE,NSE
2778,7401729,28913,ROSSELLIND,ROSSELL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2779,32769,128,ROUTE,ROUTE MOBILE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2780,4281601,16725,RPGLIFE,RPG LIFE SCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2781,3906817,15261,RPOWER-BE,RELIANCE POWER.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2782,5314561,20760,RPPINFRA,R.P.P INFRA PROJECTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2783,1214465,4744,RPPL-SM,,0.0,,0.0,0.05,1000,EQ,NSE,NSE
2784,1645825,6429,RSSOFTWARE,R. S. SOFTWARE (INDIA) LI,0.0,,0.0,0.05,1,EQ,NSE,NSE
2785,1866753,7292,RSWM-BE,RSWM,0.0,,0.0,0.05,1,EQ,NSE,NSE
2786,3433985,13414,RSYSTEMS,R SYS INTERNATIONAL,0.0,,0.0,0.05,1,EQ,NSE,NSE
2787,6988033,27297,RTNINFRA,RATTANINDIA INFRA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2788,4485121,17520,RTNPOWER,RATTANINDIA POWER,0.0,,0.0,0.05,1,EQ,NSE,NSE
2789,752385,2939,RUBYMILLS,THE RUBY MILLS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2790,4359681,17030,RUCHI-BE,RUCHI SOYA INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE
2791,2156289,8423,RUCHINFRA-BE,RUCHI INFRASTRUCTURE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2792,3539201,13825,RUCHIRA-BE,RUCHIRA PAPERS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2793,6585345,25724,RUPA,RUPA & COMPANY,0.0,,0.0,0.05,1,EQ,NSE,NSE
2794,6296321,24595,RUSHIL,RUSHIL DECOR,0.0,,0.0,0.05,1,EQ,NSE,NSE
2795,402433,1572,RVHL-BE,RAVINDER HEIGHTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2796,2445313,9552,RVNL,RAIL VIKAS NIGAM,0.0,,0.0,0.05,1,EQ,NSE,NSE
2797,2235649,8733,S&SPOWER-BE,S&S POWER SWITCHGEARS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2798,4736257,18501,SABEVENTS-BE,SAB EVENTS & GOVERNANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2799,3855361,15060,SABTN-BE,SRI ADHIKARI BROS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2800,3388417,13236,SADBHAV,SADBHAV ENGINEERING,0.0,,0.0,0.05,1,EQ,NSE,NSE
2801,2718209,10618,SADBHIN,SADBHAV INFRA PROJ.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2802,3336961,13035,SAFARI,SAFARI IND (INDIA),0.0,,0.0,0.05,1,EQ,NSE,NSE
2803,2093057,8176,SAGARDEEP-BE,SAGARDEEP ALLOYS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2804,3601409,14068,SAGCEM,SAGAR CEMENTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2805,758529,2963,SAIL,STEEL AUTHORITY OF INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
2806,2441985,9539,SAKAR,SAKAR HEALTHCARE,0.0,,0.0,0.05,1,EQ,NSE,NSE
2807,760065,2969,SAKHTISUG,SAKTHI SUGARS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2808,3019265,11794,SAKSOFT,SAKSOFT,0.0,,0.0,0.05,1,EQ,NSE,NSE
2809,3392257,13251,SAKUMA,SAKUMA EXPORTS,0.0,,0.0,0.05,1,EQ,NSE,NSE
2810,5468673,21362,SALASAR,SALASAR TECHNO ENGG..,0.0,,0.0,0.05,1,EQ,NSE,NSE
2811,4441857,17351,SALONA,SALONA COTSPIN.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2812,2978305,11634,SALSTEEL,S.A.L. STEEL.,0.0,,0.0,0.05,1,EQ,NSE,NSE
2813,2918145,11399,SALZERELEC,SALZER ELECTRONICS,0.0,,0.0,0.05,1,EQ,NSE,NSE
